fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
9.54,0.538,0.32,8.79,0.1371,15.7,59.2,0.9998,3.13,0.39,8.81,5
10.67,0.213,0.25,1.08,0.0579,11.5,40.4,0.9963,3.12,0.72,10.4,6
8.34,0.775,0.5,2.84,0.0553,4.2,8.0,0.9965,3.22,0.96,9.0,5
8.84,0.702,0.4,0.98,0.0421,22.4,82.6,0.9966,2.99,0.49,8.4,5
9.68,0.649,0.41,0.95,0.0968,7.5,53.0,0.9953,3.26,0.51,10.72,5
7.07,0.829,0.08,1.07,0.0154,6.2,27.5,0.9933,3.48,0.49,10.93,5
8.39,0.249,0.32,5.95,0.098,23.1,96.1,0.9966,3.43,0.84,10.5,7
8.51,0.787,0.24,5.14,0.0801,14.2,71.5,0.998,3.19,0.76,8.4,6
6.67,0.648,0.11,1.22,0.1299,29.4,85.0,0.9938,3.24,0.65,10.08,6
12.24,0.37,0.39,1.16,0.0526,13.9,58.1,0.9966,3.12,0.56,11.47,7
5.91,0.683,0.19,1.31,0.0764,18.2,71.3,0.994,3.53,0.7,9.15,6
6.09,0.382,0.37,1.99,0.1344,23.7,105.4,0.9935,3.44,0.37,10.36,5
10.53,0.27,0.14,2.16,0.1348,2.7,24.6,0.9961,3.23,0.74,11.06,7
9.51,0.387,0.6,1.28,0.0573,20.0,66.9,0.9949,3.39,0.83,11.2,6
6.56,0.4,0.13,3.02,0.0918,13.4,62.4,0.9939,3.31,0.47,10.74,6
9.33,0.23,0.37,1.46,0.0913,2.9,14.7,0.9957,3.23,0.46,10.1,7
10.8,0.778,0.39,4.73,0.1044,10.5,53.7,0.9971,3.38,0.91,11.37,5
8.25,0.526,0.15,2.5,0.079,3.0,9.7,0.9955,3.29,0.54,10.02,5
12.72,0.63,0.4,1.76,0.1408,18.0,53.2,0.9982,2.94,0.83,10.15,5
5.37,0.473,0.03,3.24,0.015,11.5,39.1,0.9944,3.38,0.61,9.24,5
9.48,0.18,0.55,3.45,0.0677,38.8,155.6,0.9966,3.14,0.65,10.18,6
10.28,0.456,0.33,1.41,0.0974,4.4,22.9,0.9963,3.25,0.79,10.19,7
9.82,0.405,0.06,1.52,0.1178,13.2,49.5,0.9969,3.13,0.41,9.1,3
7.95,0.478,0.24,5.02,0.1386,4.9,30.3,0.9944,3.36,0.7,12.34,6
7.81,0.337,0.4,1.17,0.1374,13.4,46.4,0.9956,3.25,0.58,8.8,5
9.06,0.908,0.14,0.96,0.0781,17.4,83.7,0.9966,3.02,0.42,8.56,5
9.69,0.725,0.12,1.81,0.1415,17.4,67.7,0.9949,3.28,0.7,11.65,5
9.32,0.588,0.21,3.32,0.0609,22.3,86.9,0.9966,3.28,0.6,9.97,5
10.07,0.625,0.12,3.12,0.1167,25.1,98.1,0.9967,3.28,0.69,10.41,7
6.57,0.426,0.58,4.68,0.1619,3.0,18.1,0.9942,3.32,0.43,11.21,5
7.91,0.582,0.19,2.04,0.1331,7.0,34.2,0.995,3.24,0.95,10.02,6
6.7,0.524,0.44,1.06,0.0887,15.9,71.5,0.9919,3.44,0.83,12.45,6
7.64,0.615,0.29,2.23,0.0762,10.3,34.4,0.9943,3.53,0.8,10.85,5
10.03,0.626,0.15,3.16,0.0184,4.5,13.4,0.9965,3.23,0.67,10.59,7
8.48,0.535,0.33,1.05,0.0919,11.7,61.2,0.9925,3.35,0.43,13.23,7
12.73,0.619,0.39,1.18,0.0449,8.3,34.1,0.9984,3.05,0.97,9.57,5
8.63,0.209,0.26,0.92,0.0528,7.9,47.8,0.994,3.11,0.67,11.37,6
8.4,0.407,0.46,2.25,0.0419,21.9,95.0,0.9951,3.42,0.51,10.47,5
8.48,0.549,0.43,4.17,0.0711,8.3,25.5,0.9951,3.41,0.71,11.48,5
7.22,0.666,0.38,2.57,0.0934,2.3,13.2,0.9937,3.45,0.8,11.29,4
8.2,0.298,0.21,6.93,0.0954,2.7,16.0,0.9967,3.29,0.68,10.66,6
10.22,0.9,0.1,1.0,0.0605,25.3,73.2,0.9964,3.29,0.9,9.87,6
8.49,0.828,0.14,4.4,0.1323,40.8,144.3,0.9959,3.41,0.82,10.63,5
6.95,0.672,0.29,3.42,0.0812,16.0,70.0,0.9953,3.57,0.46,9.5,5
6.73,0.422,0.43,1.47,0.048,7.4,38.9,0.9915,3.51,0.61,13.09,7
7.53,0.534,0.0,6.35,0.0986,35.5,105.3,0.9963,3.36,0.8,10.31,5
8.43,0.408,0.25,1.41,0.168,15.0,45.8,0.9953,3.15,0.33,9.81,5
10.33,0.503,0.32,4.2,0.0979,24.3,91.5,0.997,3.23,0.65,10.81,6
6.02,0.374,0.32,4.09,0.06,19.4,72.3,0.9944,3.45,0.52,10.18,8
7.76,0.359,0.48,3.03,0.0284,7.7,36.4,0.996,3.42,0.56,9.2,5
8.55,0.547,0.37,2.14,0.0757,9.8,38.8,0.9941,3.46,0.63,11.83,6
5.18,0.464,0.53,1.09,0.0939,4.5,32.0,0.9928,3.45,0.62,9.97,6
6.88,0.246,0.21,2.04,0.074,6.1,25.9,0.995,3.63,0.55,9.13,5
7.14,0.344,0.46,1.56,0.0179,20.1,69.7,0.9934,3.16,0.49,11.16,6
6.95,0.5,0.54,3.26,0.0555,28.9,110.0,0.9938,3.43,1.03,11.36,5
8.63,0.811,0.53,3.03,0.1427,17.5,84.5,0.9949,3.2,1.0,11.34,6
8.03,0.585,0.09,4.52,0.1419,9.5,27.2,0.9948,3.09,0.48,11.62,6
7.36,0.263,0.24,0.92,0.049,3.1,12.9,0.9943,3.33,0.95,9.87,6
9.03,0.653,0.19,3.38,0.1164,2.7,18.3,0.9974,3.1,0.57,8.75,5
11.23,0.227,0.38,5.08,0.0374,7.6,33.4,0.9969,3.14,0.7,12.13,6
11.09,0.754,0.37,3.24,0.1457,9.5,28.2,0.9979,3.17,0.63,9.85,5
5.03,0.49,0.1,1.11,0.0993,13.3,55.1,0.9927,3.61,0.53,9.92,5
9.28,0.554,0.26,1.03,0.1275,2.1,22.0,0.9944,3.08,0.81,11.5,5
8.0,0.715,0.0,0.93,0.0159,56.9,193.2,0.9937,3.43,0.7,11.18,6
8.56,0.271,0.55,2.39,0.1116,7.4,39.5,0.9948,3.31,0.6,11.08,6
7.62,0.412,0.12,2.39,0.0942,24.6,103.2,0.9935,3.47,0.38,11.89,4
8.5,0.391,0.3,7.4,0.1186,11.2,48.0,0.9976,3.25,0.53,9.98,6
8.56,0.747,0.19,1.66,0.1261,3.7,34.3,0.9945,3.14,0.36,11.1,5
7.32,0.232,0.5,1.5,0.0871,21.2,71.0,0.9939,3.21,0.68,10.68,6
6.78,0.12,0.0,2.37,0.0655,16.8,50.2,0.994,3.23,0.44,10.44,5
7.54,0.413,0.29,3.52,0.1157,11.0,47.4,0.9937,3.41,0.63,12.15,6
8.7,0.664,0.23,5.04,0.0871,10.7,43.7,0.9963,3.47,0.87,10.68,5
9.32,0.614,0.25,3.34,0.0446,3.1,25.1,0.9953,3.19,0.92,11.61,7
9.75,0.491,0.56,1.73,0.0527,14.8,52.3,0.9952,3.31,0.63,11.25,5
7.46,0.5,0.09,2.41,0.0304,31.1,101.7,0.995,3.17,0.63,9.81,5
8.78,0.766,0.39,3.81,0.0691,3.2,17.4,0.9969,3.31,0.96,9.34,5
9.94,0.12,0.39,1.91,0.1236,5.7,34.7,0.9964,3.31,0.81,10.03,7
10.28,0.344,0.56,1.27,0.0866,29.9,123.6,0.9971,3.04,0.66,9.11,7
8.2,0.602,0.13,1.18,0.0683,6.0,31.8,0.9931,3.29,0.4,12.23,5
7.92,0.566,0.16,0.9,0.1167,14.7,67.4,0.995,3.41,0.75,9.52,6
8.62,0.403,0.49,2.8,0.0512,11.2,50.5,0.9955,2.94,0.82,10.4,6
6.35,0.496,0.37,1.08,0.0883,12.9,56.9,0.9933,3.57,0.57,10.35,6
7.97,0.12,0.01,1.32,0.0773,8.4,50.3,0.9941,3.37,0.73,10.93,6
9.57,0.458,0.15,1.43,0.1207,6.3,38.4,0.9952,3.33,0.58,10.99,5
9.39,0.647,0.32,2.13,0.0264,2.6,20.1,0.9953,3.21,0.61,11.04,5
7.84,0.243,0.48,1.66,0.0455,18.4,63.8,0.9945,3.13,0.33,10.49,7
8.67,0.42,0.21,2.58,0.015,18.4,84.2,0.9951,3.36,0.68,10.91,7
6.9,0.566,0.0,0.99,0.0741,15.3,64.9,0.9932,3.37,0.84,10.91,6
9.5,0.512,0.34,1.1,0.138,14.4,70.9,0.9958,3.25,0.53,9.93,5
8.17,0.599,0.03,1.94,0.0693,5.4,24.4,0.9938,3.45,0.65,11.78,5
7.83,0.326,0.0,1.52,0.0641,2.3,8.0,0.9939,3.42,0.55,11.12,6
7.69,0.375,0.0,1.43,0.1144,21.8,50.3,0.9932,3.57,0.78,11.81,7
8.19,0.514,0.48,1.0,0.1222,10.1,47.3,0.9934,3.33,0.68,11.74,7
7.54,0.517,0.31,4.29,0.081,6.4,24.8,0.9943,3.27,0.52,11.8,6
9.42,0.39,0.25,2.67,0.1119,3.3,26.6,0.9957,3.23,0.91,10.81,6
7.63,0.608,0.5,1.09,0.0464,2.8,20.1,0.9954,3.39,0.8,8.88,5
11.01,0.691,0.36,1.0,0.1446,7.1,34.5,0.9963,3.3,0.54,10.57,5
10.79,0.12,0.62,6.43,0.1654,21.6,69.7,0.9985,3.01,0.8,10.42,7
6.78,0.687,0.04,2.61,0.1053,32.1,121.8,0.9944,3.39,0.77,10.1,6
8.42,0.673,0.16,1.71,0.0161,29.2,106.6,0.9954,3.5,0.67,9.86,3
7.19,0.642,0.0,2.71,0.0672,32.3,116.9,0.9937,3.34,0.35,11.41,5
7.74,0.694,0.25,3.02,0.109,30.6,90.5,0.9948,3.45,0.85,10.65,6
11.7,0.497,0.13,3.17,0.0826,11.0,42.4,0.9985,3.2,0.46,9.58,3
7.78,0.449,0.36,1.87,0.1404,5.0,24.8,0.9934,3.45,0.58,11.88,5
8.91,0.441,0.3,1.74,0.108,21.2,86.5,0.9949,3.18,1.13,10.87,6
9.22,0.357,0.4,0.92,0.0562,4.9,27.8,0.9929,3.17,0.73,13.23,6
6.6,0.785,0.42,4.82,0.0858,5.7,40.1,0.9943,3.4,0.61,11.19,6
6.85,0.424,0.64,2.29,0.0537,5.2,42.8,0.9957,3.2,0.33,8.41,5
6.25,0.396,0.23,1.24,0.0772,10.7,53.2,0.9925,3.38,0.92,11.38,6
6.79,0.605,0.08,4.68,0.0673,6.7,40.6,0.9949,3.42,0.41,10.56,5
4.6,0.366,0.29,4.6,0.1365,4.0,27.4,0.9926,3.71,0.47,11.46,5
9.23,0.423,0.15,7.69,0.1691,9.2,41.8,0.9972,3.31,0.62,11.3,6
11.79,0.544,0.56,4.01,0.0273,26.8,90.4,0.9982,3.21,0.92,10.49,6
8.55,0.433,0.24,10.07,0.015,12.1,49.8,0.9992,3.44,0.81,9.4,6
5.89,0.474,0.19,1.32,0.0747,27.3,75.1,0.993,3.31,0.65,10.42,6
7.21,0.4,0.21,3.67,0.0238,4.6,18.8,0.9954,3.34,0.73,9.77,6
7.52,0.313,0.38,3.5,0.0913,4.2,26.4,0.9957,3.64,0.54,9.59,5
6.57,0.625,0.22,1.29,0.1195,12.3,53.7,0.9932,3.39,0.66,10.76,5
9.76,0.868,0.13,1.06,0.1493,9.5,37.2,0.9945,3.37,0.65,11.84,5
9.68,0.573,0.55,6.73,0.0976,15.0,47.5,0.9977,3.36,0.8,10.57,5
6.34,0.448,0.18,1.43,0.0718,21.0,86.3,0.9938,3.23,0.88,9.88,7
9.53,0.688,0.26,3.97,0.015,18.7,87.1,0.9965,3.29,0.72,10.62,5
10.9,0.194,0.45,0.91,0.0805,36.2,160.4,0.9949,3.2,0.66,12.27,7
11.53,0.779,0.0,0.93,0.0874,8.1,40.0,0.9971,3.19,0.81,10.02,6
13.17,0.524,0.38,1.84,0.1101,4.8,29.3,0.9983,2.98,0.66,10.49,6
6.77,0.767,0.1,1.31,0.0562,11.6,52.1,0.9934,3.25,0.5,10.64,6
13.1,0.365,0.44,2.66,0.0671,3.4,17.7,0.9991,3.01,0.61,9.84,6
7.7,0.799,0.12,2.15,0.0254,6.1,16.8,0.9939,3.33,0.69,11.27,6
7.29,0.702,0.37,1.02,0.015,4.8,34.5,0.9942,3.5,0.79,10.05,5
8.86,0.584,0.49,1.17,0.0402,8.1,37.9,0.9945,3.5,0.65,11.04,6
7.31,0.61,0.41,1.64,0.0267,3.4,12.0,0.995,3.53,0.43,9.29,5
8.98,0.608,0.26,1.21,0.108,2.4,8.0,0.996,3.38,0.61,9.29,4
6.06,0.694,0.25,3.26,0.0638,14.8,52.2,0.9932,3.3,0.7,11.35,6
7.89,0.594,0.15,1.71,0.068,13.3,43.5,0.9951,3.28,0.67,9.8,5
10.49,0.12,0.59,1.05,0.0401,16.8,51.6,0.9942,3.23,0.88,12.8,7
8.2,0.22,0.2,1.89,0.015,15.0,59.9,0.9947,3.24,0.89,10.68,7
8.54,0.378,0.14,1.04,0.1398,3.5,24.3,0.9941,3.37,0.62,11.3,7
9.11,0.623,0.37,1.11,0.0495,6.1,22.7,0.9946,3.36,0.54,11.11,5
10.29,0.64,0.07,1.31,0.078,3.7,17.7,0.9977,3.27,0.42,8.4,4
5.49,0.617,0.16,3.84,0.0213,24.2,79.5,0.9946,3.57,0.84,9.31,7
9.29,0.238,0.0,4.78,0.1284,18.5,49.5,0.9982,3.15,0.89,8.65,5
7.84,0.434,0.24,3.53,0.0852,4.7,29.2,0.9937,3.44,0.67,12.34,7
8.58,0.12,0.32,1.51,0.0464,7.0,28.6,0.9949,3.21,0.68,10.52,7
10.1,0.619,0.33,1.38,0.0688,42.8,158.0,0.9938,3.11,0.93,13.18,6
6.27,0.554,0.42,2.09,0.1566,12.8,36.1,0.9942,3.48,0.73,9.61,5
6.58,0.641,0.34,2.82,0.0866,21.4,80.8,0.9941,3.54,0.71,10.36,5
5.01,0.343,0.26,8.42,0.0772,5.7,27.6,0.9938,3.53,0.48,12.17,6
7.37,0.788,0.21,1.11,0.0518,4.8,31.5,0.9926,3.36,0.76,12.18,5
10.56,0.747,0.34,0.98,0.015,20.4,84.0,0.9947,3.23,0.48,12.24,5
8.1,0.589,0.52,2.68,0.0781,15.9,51.8,0.994,3.34,0.49,11.83,6
6.02,0.388,0.35,3.58,0.0925,15.7,62.6,0.9927,3.29,0.66,12.1,7
7.47,0.589,0.21,3.71,0.1285,11.7,37.9,0.9944,3.2,0.58,11.22,6
5.77,0.37,0.11,2.6,0.015,11.9,77.6,0.9927,3.43,0.64,11.4,6
6.39,0.715,0.0,5.52,0.0445,18.0,53.0,0.9957,3.42,0.4,9.62,5
8.96,0.77,0.41,1.97,0.0613,5.8,37.5,0.9959,3.28,0.84,9.81,6
6.3,0.512,0.47,4.58,0.0744,7.2,17.0,0.9937,3.49,0.95,11.52,8
10.19,0.446,0.35,6.05,0.0837,26.6,109.9,0.9983,3.19,0.33,10.0,5
8.18,0.551,0.27,3.72,0.0796,6.4,43.4,0.9958,3.38,0.85,10.17,6
8.45,0.19,0.58,1.46,0.0958,11.5,37.5,0.9938,3.29,0.58,11.77,7
7.83,0.587,0.2,1.23,0.0484,16.6,64.0,0.9934,3.55,0.83,11.58,6
9.61,0.567,0.46,2.09,0.1219,68.0,233.6,0.9957,3.25,0.67,10.71,6
9.63,0.172,0.28,1.81,0.1018,8.9,17.3,0.9945,3.52,0.68,12.1,6
8.87,0.372,0.14,4.05,0.0767,8.7,29.3,0.9973,3.32,0.61,9.03,5
9.26,0.522,0.36,1.06,0.1535,24.2,93.2,0.9956,3.24,0.85,9.98,5
7.94,0.439,0.36,1.35,0.1468,21.6,93.3,0.9949,3.22,0.47,9.91,6
9.22,0.284,0.35,2.99,0.1218,17.8,65.9,0.9973,3.09,0.78,8.76,6
7.73,0.476,0.34,1.05,0.015,9.5,51.6,0.9937,3.22,0.91,10.99,7
8.3,0.453,0.32,1.48,0.1427,6.7,31.2,0.9943,3.2,0.84,10.95,7
7.83,0.457,0.72,1.63,0.1163,13.3,39.5,0.9931,3.38,1.08,12.14,6
7.52,0.362,0.5,2.36,0.1648,27.1,109.2,0.9939,3.29,0.59,11.26,6
7.13,0.668,0.42,1.16,0.134,27.8,117.0,0.9945,3.39,0.84,9.6,6
9.1,0.771,0.31,3.86,0.1476,3.4,8.0,0.9946,3.42,0.66,12.48,6
10.53,0.408,0.47,1.79,0.1196,8.7,37.6,0.9953,3.19,0.89,11.85,6
10.29,0.386,0.38,4.63,0.1384,9.5,56.9,0.9968,3.46,0.68,11.21,6
6.16,0.494,0.33,1.85,0.1593,47.6,186.0,0.9931,3.28,0.65,10.85,7
10.49,0.509,0.2,1.38,0.0982,15.6,61.6,0.9972,3.18,0.86,9.22,5
7.76,0.546,0.24,1.13,0.0266,8.3,41.3,0.9947,3.27,0.56,9.8,5
9.32,0.696,0.0,0.91,0.0772,2.3,17.8,0.9946,3.37,0.4,11.26,5
6.76,0.165,0.33,2.04,0.1001,12.0,35.1,0.9922,3.12,0.59,12.51,6
8.54,0.874,0.12,1.07,0.0975,3.2,18.8,0.9941,3.12,0.71,11.27,4
8.83,0.502,0.58,1.65,0.0346,23.6,92.6,0.9954,3.27,0.92,10.14,6
5.78,0.42,0.29,2.23,0.0193,18.8,84.4,0.994,3.62,0.7,9.51,6
9.33,0.555,0.04,1.38,0.0599,9.4,26.0,0.9955,3.29,0.86,10.32,5
10.59,0.484,0.28,1.19,0.1168,8.7,27.4,0.9975,3.03,0.45,8.86,6
