App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
Hyper Lite Tool 1757,Average performance. UI could use some polishing.,Neutral,0.019,0.176
Hyper Lite Tool 1757,Incredible features and clean layout. Worth every penny.,Positive,0.747,0.745
Hyper Plus Busi 545,"Good concept, waiting for future feature updates.",Neutral,0.082,0.247
Hyper Plus Busi 545,Constant crashes after the latest update. Terrible experience.,Negative,-0.793,0.699
Hyper Plus Busi 545,Absolutely love this app! Very smooth UI and responsive.,Positive,0.92,0.834
Hyper Plus Busi 545,"Best in its class, saves me so much time every day.",Positive,0.745,0.762
Hyper Plus Busi 545,Great customer support and seamless synchronization.,Positive,0.363,0.615
Hyper Plus Busi 545,Customer service never responded to my refund ticket.,Negative,-0.404,0.714
Hyper Plus Busi 545,Great customer support and seamless synchronization.,Positive,0.934,0.826
Hyper Plus Busi 545,Game is highly addictive with stellar graphics!,Positive,0.593,0.758
Hyper Plus Busi 545,Great customer support and seamless synchronization.,Positive,0.397,0.715
Pocket Manager Heal 1998,Average performance. UI could use some polishing.,Neutral,0.105,0.399
Pocket Manager Heal 1998,Essential utility for daily workflow. Fast loading.,Positive,0.801,0.722
Pocket Manager Heal 1998,"Best in its class, saves me so much time every day.",Positive,0.676,0.746
Pocket Manager Heal 1998,Absolutely love this app! Very smooth UI and responsive.,Positive,0.827,0.555
Pocket Manager Heal 1998,"Best in its class, saves me so much time every day.",Positive,0.516,0.62
Pocket Manager Heal 1998,Constant crashes after the latest update. Terrible experience.,Negative,-0.67,0.852
Pocket Manager Heal 1998,Customer service never responded to my refund ticket.,Negative,-0.485,0.88
Pocket Manager Heal 1998,Game is highly addictive with stellar graphics!,Positive,0.93,0.817
Smart Assistant Pers 1294,Game is highly addictive with stellar graphics!,Positive,0.298,0.806
Smart Assistant Pers 1294,Absolutely love this app! Very smooth UI and responsive.,Positive,0.929,0.56
Smart Assistant Pers 1294,Great customer support and seamless synchronization.,Positive,0.642,0.429
Smart Assistant Pers 1294,Absolutely love this app! Very smooth UI and responsive.,Positive,0.716,0.656
Smart Assistant Pers 1294,Game is highly addictive with stellar graphics!,Positive,0.686,0.779
Smart Assistant Pers 1294,"Best in its class, saves me so much time every day.",Positive,0.324,0.459
Smart Assistant Pers 1294,"Best in its class, saves me so much time every day.",Positive,0.872,0.524
Smart Assistant Pers 1294,Incredible features and clean layout. Worth every penny.,Positive,0.612,0.423
Smart Assistant Pers 1294,Average performance. UI could use some polishing.,Neutral,0.071,0.263
Smart Assistant Pers 1294,"Good concept, waiting for future feature updates.",Neutral,0.052,0.357
Pocket Tracker Tool 573,Game is highly addictive with stellar graphics!,Positive,0.631,0.408
Pocket Tracker Tool 573,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.744,0.462
Pocket Tracker Tool 573,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.79,0.52
Pocket Tracker Tool 573,"Full of bugs, login screen freezes constantly.",Negative,-0.441,0.789
Pocket Tracker Tool 573,"Best in its class, saves me so much time every day.",Positive,0.422,0.848
Daily Assistant Fina 247,Absolutely love this app! Very smooth UI and responsive.,Positive,0.342,0.494
Daily Assistant Fina 247,"Full of bugs, login screen freezes constantly.",Negative,-0.215,0.852
Daily Assistant Fina 247,Game is highly addictive with stellar graphics!,Positive,0.912,0.452
Daily Assistant Fina 247,Great customer support and seamless synchronization.,Positive,0.271,0.475
Daily Assistant Fina 247,Great customer support and seamless synchronization.,Positive,0.618,0.426
Daily Assistant Fina 247,Absolutely love this app! Very smooth UI and responsive.,Positive,0.87,0.527
Daily Assistant Fina 247,Incredible features and clean layout. Worth every penny.,Positive,0.258,0.83
Daily Assistant Fina 247,Constant crashes after the latest update. Terrible experience.,Negative,-0.187,0.87
Daily Assistant Fina 247,Great customer support and seamless synchronization.,Positive,0.688,0.59
Daily Assistant Fina 247,"Full of bugs, login screen freezes constantly.",Negative,-0.36,0.668
Global Hub Busi 928,Battery drain is immense and phone overheats quickly.,Negative,-0.185,0.452
Global Hub Busi 928,Absolutely love this app! Very smooth UI and responsive.,Positive,0.463,0.419
Global Hub Busi 928,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.727,0.562
Global Hub Busi 928,Incredible features and clean layout. Worth every penny.,Positive,0.724,0.458
Global Hub Busi 928,Game is highly addictive with stellar graphics!,Positive,0.919,0.447
Global Hub Busi 928,"Good concept, waiting for future feature updates.",Neutral,0.092,0.184
Global Hub Busi 928,"Best in its class, saves me so much time every day.",Positive,0.706,0.522
Global Hub Busi 928,Constant crashes after the latest update. Terrible experience.,Negative,-0.373,0.76
Global Hub Busi 928,Average performance. UI could use some polishing.,Neutral,-0.073,0.369
Global Hub Busi 928,"Best in its class, saves me so much time every day.",Positive,0.9,0.672
Global Flow Phot 1245,"Good concept, waiting for future feature updates.",Neutral,-0.073,0.346
Global Flow Phot 1245,"Works okay on tablet, bit clunky on small screens.",Neutral,0.012,0.392
Global Flow Phot 1245,Essential utility for daily workflow. Fast loading.,Positive,0.642,0.795
Global Flow Phot 1245,Great customer support and seamless synchronization.,Positive,0.765,0.789
Global Flow Phot 1245,Battery drain is immense and phone overheats quickly.,Negative,-0.477,0.651
Global Flow Phot 1245,Constant crashes after the latest update. Terrible experience.,Negative,-0.812,0.741
Global Flow Phot 1245,"Works okay on tablet, bit clunky on small screens.",Neutral,0.06,0.395
Global Flow Phot 1245,Absolutely love this app! Very smooth UI and responsive.,Positive,0.603,0.681
Fast Vault Heal 1388,Incredible features and clean layout. Worth every penny.,Positive,0.402,0.613
Fast Vault Heal 1388,"Best in its class, saves me so much time every day.",Positive,0.445,0.496
Fast Vault Heal 1388,"Works okay on tablet, bit clunky on small screens.",Neutral,0.085,0.239
Fast Vault Heal 1388,"Full of bugs, login screen freezes constantly.",Negative,-0.151,0.867
Fast Vault Heal 1388,"Best in its class, saves me so much time every day.",Positive,0.941,0.597
Fast Vault Heal 1388,Game is highly addictive with stellar graphics!,Positive,0.252,0.418
Fast Vault Heal 1388,Too many intrusive video ads every 30 seconds. Uninstalled.,Negative,-0.578,0.481
Fast Vault Heal 1388,Game is highly addictive with stellar graphics!,Positive,0.511,0.754
Fast Vault Heal 1388,Game is highly addictive with stellar graphics!,Positive,0.88,0.806
Fast Vault Heal 1388,Absolutely love this app! Very smooth UI and responsive.,Positive,0.834,0.748
Fast Vault Heal 1388,Average performance. UI could use some polishing.,Neutral,0.067,0.387
Fast Vault Heal 1388,"Best in its class, saves me so much time every day.",Positive,0.925,0.749
Quick Studio Tool 1034,Game is highly addictive with stellar graphics!,Positive,0.874,0.846
Quick Studio Tool 1034,Average performance. UI could use some polishing.,Neutral,0.113,0.151
Quick Studio Tool 1034,Incredible features and clean layout. Worth every penny.,Positive,0.57,0.628
Quick Studio Tool 1034,Great customer support and seamless synchronization.,Positive,0.331,0.505
Quick Studio Tool 1034,Too many intrusive video ads every 30 seconds. Uninstalled.,Negative,-0.612,0.625
Quick Studio Tool 1034,Great customer support and seamless synchronization.,Positive,0.628,0.726
Pocket Studio Game 1838,"Good concept, waiting for future feature updates.",Neutral,0.129,0.353
Pocket Studio Game 1838,Essential utility for daily workflow. Fast loading.,Positive,0.674,0.714
Pocket Studio Game 1838,"Best in its class, saves me so much time every day.",Positive,0.881,0.521
Pocket Studio Game 1838,Average performance. UI could use some polishing.,Neutral,0.105,0.251
Pocket Studio Game 1838,Too many intrusive video ads every 30 seconds. Uninstalled.,Negative,-0.438,0.595
Master Hero Game 1895,Customer service never responded to my refund ticket.,Negative,-0.429,0.837
Master Hero Game 1895,"Works okay on tablet, bit clunky on small screens.",Neutral,0.104,0.157
Master Hero Game 1895,Absolutely love this app! Very smooth UI and responsive.,Positive,0.548,0.411
Master Hero Game 1895,Game is highly addictive with stellar graphics!,Positive,0.32,0.525
Master Hero Game 1895,Game is highly addictive with stellar graphics!,Positive,0.272,0.423
Master Hero Game 1895,Great customer support and seamless synchronization.,Positive,0.306,0.79
Master Hero Game 1895,Incredible features and clean layout. Worth every penny.,Positive,0.874,0.528
Master Hero Game 1895,Game is highly addictive with stellar graphics!,Positive,0.308,0.728
Master Hero Game 1895,"Works okay on tablet, bit clunky on small screens.",Neutral,-0.04,0.378
NextGen Manager Medi 2348,Absolutely love this app! Very smooth UI and responsive.,Positive,0.885,0.801
NextGen Manager Medi 2348,Battery drain is immense and phone overheats quickly.,Negative,-0.267,0.783
NextGen Manager Medi 2348,Incredible features and clean layout. Worth every penny.,Positive,0.833,0.597
NextGen Manager Medi 2348,"Best in its class, saves me so much time every day.",Positive,0.453,0.643
NextGen Manager Medi 2348,Absolutely love this app! Very smooth UI and responsive.,Positive,0.442,0.62
NextGen Manager Medi 2348,"Best in its class, saves me so much time every day.",Positive,0.689,0.513
NextGen Manager Medi 2348,"Full of bugs, login screen freezes constantly.",Negative,-0.498,0.662
NextGen Manager Medi 2348,Essential utility for daily workflow. Fast loading.,Positive,0.431,0.657
NextGen Manager Medi 2348,"Best in its class, saves me so much time every day.",Positive,0.345,0.721
NextGen Manager Medi 2348,Great customer support and seamless synchronization.,Positive,0.834,0.636
NextGen Manager Medi 2348,Average performance. UI could use some polishing.,Neutral,-0.069,0.291
NextGen Manager Medi 2348,Game is highly addictive with stellar graphics!,Positive,0.739,0.455
Pocket Lite Tool 1107,Constant crashes after the latest update. Terrible experience.,Negative,-0.647,0.573
Pocket Lite Tool 1107,Incredible features and clean layout. Worth every penny.,Positive,0.544,0.816
Pocket Lite Tool 1107,Incredible features and clean layout. Worth every penny.,Positive,0.831,0.7
Pocket Lite Tool 1107,Game is highly addictive with stellar graphics!,Positive,0.705,0.571
Pocket Lite Tool 1107,Incredible features and clean layout. Worth every penny.,Positive,0.542,0.665
Pocket Lite Tool 1107,Absolutely love this app! Very smooth UI and responsive.,Positive,0.874,0.581
Pocket Lite Tool 1107,Battery drain is immense and phone overheats quickly.,Negative,-0.591,0.744
Quick Manager Fina 730,"Works okay on tablet, bit clunky on small screens.",Neutral,0.088,0.25
Quick Manager Fina 730,Game is highly addictive with stellar graphics!,Positive,0.754,0.573
Quick Manager Fina 730,"Works okay on tablet, bit clunky on small screens.",Neutral,0.143,0.162
Quick Manager Fina 730,Absolutely love this app! Very smooth UI and responsive.,Positive,0.6,0.732
Quick Manager Fina 730,Essential utility for daily workflow. Fast loading.,Positive,0.348,0.596
Quick Manager Fina 730,Incredible features and clean layout. Worth every penny.,Positive,0.899,0.432
Quick Manager Fina 730,Incredible features and clean layout. Worth every penny.,Positive,0.651,0.642
Quick Manager Fina 730,"Best in its class, saves me so much time every day.",Positive,0.665,0.626
Quick Manager Fina 730,"Works okay on tablet, bit clunky on small screens.",Neutral,-0.01,0.335
Quick Manager Fina 730,Absolutely love this app! Very smooth UI and responsive.,Positive,0.552,0.709
Quick Manager Fina 730,Essential utility for daily workflow. Fast loading.,Positive,0.278,0.801
Quick Manager Fina 730,Great customer support and seamless synchronization.,Positive,0.577,0.706
Pocket Vault Tool 1406,Battery drain is immense and phone overheats quickly.,Negative,-0.826,0.621
Pocket Vault Tool 1406,Incredible features and clean layout. Worth every penny.,Positive,0.54,0.832
Pocket Vault Tool 1406,Absolutely love this app! Very smooth UI and responsive.,Positive,0.422,0.76
Pocket Vault Tool 1406,"Best in its class, saves me so much time every day.",Positive,0.289,0.44
Pocket Vault Tool 1406,"Full of bugs, login screen freezes constantly.",Negative,-0.275,0.558
Pocket Vault Tool 1406,"Decent app overall, does the job but lacks advanced customization.",Neutral,-0.073,0.178
Pocket Vault Tool 1406,"Good concept, waiting for future feature updates.",Neutral,0.067,0.25
Pocket Vault Tool 1406,Great customer support and seamless synchronization.,Positive,0.476,0.635
Pocket Vault Tool 1406,"Best in its class, saves me so much time every day.",Positive,0.738,0.56
Pocket Vault Tool 1406,Absolutely love this app! Very smooth UI and responsive.,Positive,0.491,0.524
Pocket Vault Tool 1406,Game is highly addictive with stellar graphics!,Positive,0.905,0.556
Master Portal Pers 411,Game is highly addictive with stellar graphics!,Positive,0.92,0.796
Master Portal Pers 411,Great customer support and seamless synchronization.,Positive,0.569,0.816
Master Portal Pers 411,Battery drain is immense and phone overheats quickly.,Negative,-0.606,0.629
Master Portal Pers 411,Great customer support and seamless synchronization.,Positive,0.552,0.795
Master Portal Pers 411,Too many intrusive video ads every 30 seconds. Uninstalled.,Negative,-0.284,0.694
Master Portal Pers 411,Battery drain is immense and phone overheats quickly.,Negative,-0.353,0.785
Master Portal Pers 411,Incredible features and clean layout. Worth every penny.,Positive,0.298,0.694
Master Portal Pers 411,"Good concept, waiting for future feature updates.",Neutral,0.136,0.247
Easy 3D Tool 2319,"Full of bugs, login screen freezes constantly.",Negative,-0.42,0.712
Easy 3D Tool 2319,Essential utility for daily workflow. Fast loading.,Positive,0.553,0.519
Easy 3D Tool 2319,Great customer support and seamless synchronization.,Positive,0.465,0.612
Easy 3D Tool 2319,Too many intrusive video ads every 30 seconds. Uninstalled.,Negative,-0.436,0.627
Easy 3D Tool 2319,"Good concept, waiting for future feature updates.",Neutral,-0.066,0.281
Master Tracker Game 197,"Works okay on tablet, bit clunky on small screens.",Neutral,0.142,0.264
Master Tracker Game 197,Great customer support and seamless synchronization.,Positive,0.759,0.673
Master Tracker Game 197,"Decent app overall, does the job but lacks advanced customization.",Neutral,0.103,0.151
Master Tracker Game 197,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.281,0.723
Master Tracker Game 197,Great customer support and seamless synchronization.,Positive,0.469,0.724
Master Tracker Game 197,Too many intrusive video ads every 30 seconds. Uninstalled.,Negative,-0.264,0.535
Master Tracker Game 197,"Works okay on tablet, bit clunky on small screens.",Neutral,-0.06,0.379
Master Tracker Game 197,Incredible features and clean layout. Worth every penny.,Positive,0.696,0.657
Master Tracker Game 197,Battery drain is immense and phone overheats quickly.,Negative,-0.338,0.622
Master Tracker Game 197,"Good concept, waiting for future feature updates.",Neutral,0.004,0.196
Daily Hub Heal 1852,Incredible features and clean layout. Worth every penny.,Positive,0.548,0.498
Daily Hub Heal 1852,"Full of bugs, login screen freezes constantly.",Negative,-0.702,0.755
Daily Hub Heal 1852,"Best in its class, saves me so much time every day.",Positive,0.452,0.729
Daily Hub Heal 1852,Incredible features and clean layout. Worth every penny.,Positive,0.418,0.642
Daily Hub Heal 1852,"Decent app overall, does the job but lacks advanced customization.",Neutral,-0.041,0.311
NextGen Hero Tool 1506,Great customer support and seamless synchronization.,Positive,0.78,0.777
NextGen Hero Tool 1506,Incredible features and clean layout. Worth every penny.,Positive,0.876,0.428
NextGen Hero Tool 1506,"Good concept, waiting for future feature updates.",Neutral,-0.053,0.387
NextGen Hero Tool 1506,Incredible features and clean layout. Worth every penny.,Positive,0.508,0.742
NextGen Hero Tool 1506,Too many intrusive video ads every 30 seconds. Uninstalled.,Negative,-0.334,0.561
NextGen Hero Tool 1506,Absolutely love this app! Very smooth UI and responsive.,Positive,0.848,0.688
NextGen Hero Tool 1506,"Works okay on tablet, bit clunky on small screens.",Neutral,-0.094,0.216
NextGen Hero Tool 1506,"Best in its class, saves me so much time every day.",Positive,0.31,0.808
NextGen Hero Tool 1506,Game is highly addictive with stellar graphics!,Positive,0.317,0.651
NextGen Hero Tool 1506,Incredible features and clean layout. Worth every penny.,Positive,0.742,0.509
Super Flow Fami 2391,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.518,0.739
Super Flow Fami 2391,Incredible features and clean layout. Worth every penny.,Positive,0.49,0.598
Super Flow Fami 2391,"Best in its class, saves me so much time every day.",Positive,0.561,0.614
Super Flow Fami 2391,Incredible features and clean layout. Worth every penny.,Positive,0.467,0.817
Super Flow Fami 2391,Absolutely love this app! Very smooth UI and responsive.,Positive,0.376,0.575
Super Flow Fami 2391,Incredible features and clean layout. Worth every penny.,Positive,0.874,0.511
Super Flow Fami 2391,Great customer support and seamless synchronization.,Positive,0.771,0.457
Master Hero Heal 1334,Essential utility for daily workflow. Fast loading.,Positive,0.286,0.462
Master Hero Heal 1334,Absolutely love this app! Very smooth UI and responsive.,Positive,0.904,0.444
Master Hero Heal 1334,Average performance. UI could use some polishing.,Neutral,0.059,0.292
Master Hero Heal 1334,Game is highly addictive with stellar graphics!,Positive,0.683,0.733
Master Hero Heal 1334,"Good concept, waiting for future feature updates.",Neutral,0.026,0.373
Master Hero Heal 1334,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.718,0.767
Master Hero Heal 1334,"Decent app overall, does the job but lacks advanced customization.",Neutral,0.108,0.301
Master Hero Heal 1334,Constant crashes after the latest update. Terrible experience.,Negative,-0.695,0.864
Master Hero Heal 1334,Constant crashes after the latest update. Terrible experience.,Negative,-0.746,0.649
Quick Tracker Medi 1318,Incredible features and clean layout. Worth every penny.,Positive,0.471,0.701
Quick Tracker Medi 1318,Incredible features and clean layout. Worth every penny.,Positive,0.811,0.438
Quick Tracker Medi 1318,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.192,0.534
Quick Tracker Medi 1318,Essential utility for daily workflow. Fast loading.,Positive,0.524,0.694
Quick Tracker Medi 1318,"Full of bugs, login screen freezes constantly.",Negative,-0.788,0.452
Quick Tracker Medi 1318,Incredible features and clean layout. Worth every penny.,Positive,0.383,0.513
Quick Tracker Medi 1318,Incredible features and clean layout. Worth every penny.,Positive,0.453,0.495
Quick Tracker Medi 1318,Great customer support and seamless synchronization.,Positive,0.816,0.588
Easy Portal Comm 1431,"Best in its class, saves me so much time every day.",Positive,0.733,0.841
Easy Portal Comm 1431,Customer service never responded to my refund ticket.,Negative,-0.811,0.733
Easy Portal Comm 1431,Game is highly addictive with stellar graphics!,Positive,0.529,0.625
Easy Portal Comm 1431,Game is highly addictive with stellar graphics!,Positive,0.606,0.781
Easy Portal Comm 1431,Game is highly addictive with stellar graphics!,Positive,0.895,0.544
Easy Portal Comm 1431,Absolutely love this app! Very smooth UI and responsive.,Positive,0.671,0.498
Hyper Portal Heal 195,Absolutely love this app! Very smooth UI and responsive.,Positive,0.281,0.42
Hyper Portal Heal 195,Game is highly addictive with stellar graphics!,Positive,0.398,0.839
Hyper Portal Heal 195,Essential utility for daily workflow. Fast loading.,Positive,0.852,0.69
Hyper Portal Heal 195,Game is highly addictive with stellar graphics!,Positive,0.869,0.528
Hyper Portal Heal 195,Game is highly addictive with stellar graphics!,Positive,0.334,0.475
Hyper Portal Heal 195,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.392,0.559
Hyper Portal Heal 195,Game is highly addictive with stellar graphics!,Positive,0.696,0.499
Hyper Portal Heal 195,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.602,0.805
Hyper Portal Heal 195,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.251,0.688
Hyper Portal Heal 195,"Decent app overall, does the job but lacks advanced customization.",Neutral,-0.016,0.337
Quick Hero Busi 2046,Game is highly addictive with stellar graphics!,Positive,0.469,0.492
Quick Hero Busi 2046,"Decent app overall, does the job but lacks advanced customization.",Neutral,0.104,0.279
Quick Hero Busi 2046,Essential utility for daily workflow. Fast loading.,Positive,0.84,0.625
Quick Hero Busi 2046,Game is highly addictive with stellar graphics!,Positive,0.501,0.768
Quick Hero Busi 2046,Great customer support and seamless synchronization.,Positive,0.536,0.755
Quick Hero Busi 2046,Essential utility for daily workflow. Fast loading.,Positive,0.895,0.813
Quick Hero Busi 2046,"Best in its class, saves me so much time every day.",Positive,0.563,0.542
Quick Hero Busi 2046,Game is highly addictive with stellar graphics!,Positive,0.766,0.632
NextGen Vault Medi 2311,Great customer support and seamless synchronization.,Positive,0.362,0.837
NextGen Vault Medi 2311,Absolutely love this app! Very smooth UI and responsive.,Positive,0.763,0.552
NextGen Vault Medi 2311,Great customer support and seamless synchronization.,Positive,0.694,0.778
NextGen Vault Medi 2311,Essential utility for daily workflow. Fast loading.,Positive,0.341,0.618
NextGen Vault Medi 2311,Incredible features and clean layout. Worth every penny.,Positive,0.299,0.465
NextGen Vault Medi 2311,"Best in its class, saves me so much time every day.",Positive,0.29,0.678
NextGen Vault Medi 2311,Great customer support and seamless synchronization.,Positive,0.304,0.756
Daily Assistant Pers 1595,Great customer support and seamless synchronization.,Positive,0.35,0.407
Daily Assistant Pers 1595,Battery drain is immense and phone overheats quickly.,Negative,-0.403,0.517
Daily Assistant Pers 1595,Average performance. UI could use some polishing.,Neutral,0.052,0.192
Daily Assistant Pers 1595,Constant crashes after the latest update. Terrible experience.,Negative,-0.789,0.895
Daily Assistant Pers 1595,Battery drain is immense and phone overheats quickly.,Negative,-0.453,0.854
Daily Assistant Pers 1595,Absolutely love this app! Very smooth UI and responsive.,Positive,0.573,0.595
Daily Assistant Pers 1595,"Full of bugs, login screen freezes constantly.",Negative,-0.283,0.539
Fast Vault Fina 994,"Works okay on tablet, bit clunky on small screens.",Neutral,0.035,0.203
Fast Vault Fina 994,"Good concept, waiting for future feature updates.",Neutral,0.088,0.251
Fast Vault Fina 994,Constant crashes after the latest update. Terrible experience.,Negative,-0.815,0.89
Fast Vault Fina 994,Incredible features and clean layout. Worth every penny.,Positive,0.462,0.594
Fast Vault Fina 994,Great customer support and seamless synchronization.,Positive,0.466,0.653
Fast Vault Pers 1860,"Decent app overall, does the job but lacks advanced customization.",Neutral,0.07,0.291
Fast Vault Pers 1860,Great customer support and seamless synchronization.,Positive,0.536,0.471
Fast Vault Pers 1860,Battery drain is immense and phone overheats quickly.,Negative,-0.216,0.457
Fast Vault Pers 1860,Great customer support and seamless synchronization.,Positive,0.377,0.754
Fast Vault Pers 1860,Great customer support and seamless synchronization.,Positive,0.584,0.483
Fast Vault Pers 1860,"Best in its class, saves me so much time every day.",Positive,0.398,0.811
Fast Vault Pers 1860,Game is highly addictive with stellar graphics!,Positive,0.764,0.471
Fast Vault Pers 1860,Incredible features and clean layout. Worth every penny.,Positive,0.752,0.797
Fast Vault Pers 1860,Average performance. UI could use some polishing.,Neutral,0.018,0.164
Fast Vault Pers 1860,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.726,0.801
Fast Vault Pers 1860,Battery drain is immense and phone overheats quickly.,Negative,-0.403,0.844
Master Tracker Pers 2261,Absolutely love this app! Very smooth UI and responsive.,Positive,0.282,0.445
Master Tracker Pers 2261,"Works okay on tablet, bit clunky on small screens.",Neutral,-0.078,0.162
Master Tracker Pers 2261,Great customer support and seamless synchronization.,Positive,0.527,0.626
Master Tracker Pers 2261,Essential utility for daily workflow. Fast loading.,Positive,0.772,0.713
Master Tracker Pers 2261,Average performance. UI could use some polishing.,Neutral,-0.032,0.213
Master Tracker Pers 2261,"Good concept, waiting for future feature updates.",Neutral,0.122,0.338
Master Tracker Pers 2261,Customer service never responded to my refund ticket.,Negative,-0.377,0.73
Master Tracker Pers 2261,Game is highly addictive with stellar graphics!,Positive,0.685,0.546
