InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
500030,22632,HAND WARMER RED RETROSPOT,2,2023-05-29 09:39:00,2.1,CUST-10101,United Kingdom
500030,23084,RABBIT NIGHT LIGHT,2,2023-11-29 08:32:00,2.08,CUST-10352,United Kingdom
500030,22632,HAND WARMER RED RETROSPOT,4,2023-09-24 14:50:00,2.1,CUST-10005,United Kingdom
500031,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2023-12-10 13:56:00,2.95,CUST-10364,United Kingdom
500031,22752,SET 7 BABUSHKA NESTING BOXES,6,2023-10-30 17:32:00,8.5,CUST-10214,United Kingdom
500031,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2023-11-17 11:11:00,2.55,CUST-10195,United Kingdom
500032,22632,HAND WARMER RED RETROSPOT,2,2023-12-14 18:09:00,2.1,CUST-10004,Spain
500032,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-10-31 09:24:00,2.95,CUST-10012,United Kingdom
500032,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-08-05 15:41:00,2.95,CUST-10329,United Kingdom
500033,22720,SET OF 3 CAKE TINS PANTRY DESIGN,6,2023-01-01 12:20:00,12.75,CUST-10400,Germany
500033,22633,HAND WARMER UNION JACK,1,2023-07-28 16:52:00,2.1,CUST-10202,United Kingdom
500033,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-05-15 13:01:00,3.25,CUST-10149,United Kingdom
500034,22632,HAND WARMER RED RETROSPOT,1,2023-08-28 13:52:00,2.1,CUST-10084,United Kingdom
500034,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-10-08 11:40:00,2.95,CUST-10048,United Kingdom
500034,22197,SMALL POPCORN HOLDER,4,2023-12-07 14:50:00,0.85,CUST-10031,United Kingdom
500035,22960,JAM MAKING SET WITH JARS,4,2023-03-20 09:00:00,4.95,CUST-10203,United Kingdom
500035,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-07-11 08:07:00,2.55,CUST-10122,France
500035,71053,WHITE METAL LANTERN,6,2023-04-25 19:31:00,3.75,CUST-10146,United Kingdom
500036,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2023-09-11 16:46:00,4.95,CUST-10007,United Kingdom
500036,22197,SMALL POPCORN HOLDER,12,2023-08-20 15:45:00,0.85,CUST-10013,United Kingdom
500036,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-07-26 17:06:00,2.95,CUST-10017,United Kingdom
500037,22197,SMALL POPCORN HOLDER,1,2023-12-29 12:19:00,0.85,CUST-10061,United Kingdom
500037,84406B,CREAM CUPID HEARTS COAT HANGER,12,2023-10-13 12:43:00,4.25,CUST-10196,Germany
500037,84406B,CREAM CUPID HEARTS COAT HANGER,2,2023-10-11 08:49:00,4.25,CUST-10187,United Kingdom
500038,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-07-23 17:57:00,2.55,CUST-10021,France
500038,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-08-29 13:33:00,2.95,CUST-10035,United Kingdom
500038,22632,HAND WARMER RED RETROSPOT,1,2023-09-14 13:26:00,2.1,CUST-10026,United Kingdom
500039,22197,SMALL POPCORN HOLDER,1,2023-08-14 09:53:00,0.85,CUST-10331,United Kingdom
500039,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2023-12-10 08:58:00,3.25,CUST-10220,Spain
500039,23084,RABBIT NIGHT LIGHT,1,2023-08-21 17:35:00,2.08,CUST-10055,United Kingdom
500040,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-09-18 15:16:00,2.95,CUST-10132,United Kingdom
500040,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-12-18 10:29:00,8.5,CUST-10317,France
500040,23084,RABBIT NIGHT LIGHT,1,2023-09-14 14:48:00,2.08,CUST-10009,United Kingdom
500041,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2023-07-24 09:24:00,1.69,CUST-10327,United Kingdom
500041,22752,SET 7 BABUSHKA NESTING BOXES,12,2023-11-27 17:20:00,8.5,CUST-10354,United Kingdom
500041,84406B,CREAM CUPID HEARTS COAT HANGER,1,2023-03-23 11:38:00,4.25,CUST-10448,United Kingdom
500042,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2023-09-02 09:02:00,4.95,CUST-10059,United Kingdom
500042,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2023-09-30 13:24:00,2.55,CUST-10213,United Kingdom
500042,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2023-08-22 18:54:00,2.55,CUST-10041,Netherlands
500043,22632,HAND WARMER RED RETROSPOT,1,2023-11-01 19:56:00,2.1,CUST-10121,United Kingdom
500043,22960,JAM MAKING SET WITH JARS,1,2023-08-25 10:44:00,4.95,CUST-10124,United Kingdom
500043,22632,HAND WARMER RED RETROSPOT,1,2023-09-30 08:56:00,2.1,CUST-10052,United Kingdom
500044,22960,JAM MAKING SET WITH JARS,4,2023-12-28 15:10:00,4.95,CUST-10098,United Kingdom
500044,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-02-23 12:50:00,2.55,CUST-10452,United Kingdom
500044,22752,SET 7 BABUSHKA NESTING BOXES,12,2023-01-06 12:04:00,8.5,CUST-10509,Netherlands
500045,22960,JAM MAKING SET WITH JARS,24,2023-12-29 09:17:00,4.95,CUST-10041,United Kingdom
500045,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2023-09-10 11:13:00,4.95,CUST-10298,United Kingdom
500045,23084,RABBIT NIGHT LIGHT,4,2023-03-17 17:08:00,2.08,CUST-10542,United Kingdom
500046,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2023-11-07 12:47:00,12.75,CUST-10131,France
500046,84406B,CREAM CUPID HEARTS COAT HANGER,1,2023-02-09 10:57:00,4.25,CUST-10503,United Kingdom
500046,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-03-21 15:27:00,2.95,CUST-10536,United Kingdom
500047,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,2023-01-07 12:42:00,2.55,CUST-10489,United Kingdom
C500047,71053,WHITE METAL LANTERN,-6,2023-08-27 09:35:00,3.75,CUST-10029,United Kingdom
500047,23084,RABBIT NIGHT LIGHT,2,2023-10-20 08:39:00,2.08,,United Kingdom
500048,71053,WHITE METAL LANTERN,1,2023-10-01 16:31:00,3.75,CUST-10006,United Kingdom
500048,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2023-03-09 18:16:00,1.69,CUST-10485,United Kingdom
500048,22197,SMALL POPCORN HOLDER,1,2023-08-02 19:35:00,0.85,CUST-10049,United Kingdom
500049,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2023-12-26 10:10:00,12.75,CUST-10014,Spain
500049,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-08-27 14:28:00,2.55,CUST-10040,United Kingdom
500049,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2023-10-08 19:55:00,1.69,CUST-10002,Spain
500050,23084,RABBIT NIGHT LIGHT,4,2023-06-30 17:37:00,2.08,CUST-10340,United Kingdom
500050,22633,HAND WARMER UNION JACK,6,2023-05-12 19:45:00,2.1,CUST-10086,Germany
500050,22632,HAND WARMER RED RETROSPOT,12,2023-09-30 19:52:00,2.1,CUST-10340,United Kingdom
500051,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-11-22 19:19:00,4.95,CUST-10016,United Kingdom
500051,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-10-15 15:10:00,2.55,CUST-10001,United Kingdom
500051,22633,HAND WARMER UNION JACK,6,2023-02-01 18:44:00,2.1,CUST-10555,United Kingdom
500052,23084,RABBIT NIGHT LIGHT,2,2023-10-03 16:45:00,2.08,CUST-10016,United Kingdom
500052,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2023-10-24 09:32:00,2.95,CUST-10059,United Kingdom
500052,22720,SET OF 3 CAKE TINS PANTRY DESIGN,6,2023-10-30 17:45:00,12.75,CUST-10037,United Kingdom
500053,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2023-03-10 13:08:00,3.25,CUST-10182,Spain
500053,22197,SMALL POPCORN HOLDER,6,2023-06-20 18:06:00,0.85,CUST-10143,United Kingdom
500053,22197,SMALL POPCORN HOLDER,4,2023-09-05 17:13:00,0.85,CUST-10100,United Kingdom
500054,22632,HAND WARMER RED RETROSPOT,6,2023-04-25 11:44:00,2.1,CUST-10206,United Kingdom
500054,22632,HAND WARMER RED RETROSPOT,24,2023-12-16 12:31:00,2.1,CUST-10018,United Kingdom
500054,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2023-10-24 14:11:00,2.95,CUST-10014,United Kingdom
500055,71053,WHITE METAL LANTERN,6,2023-11-22 11:23:00,3.75,CUST-10043,United Kingdom
500055,84406B,CREAM CUPID HEARTS COAT HANGER,2,2023-11-18 14:41:00,4.25,CUST-10125,United Kingdom
500055,22632,HAND WARMER RED RETROSPOT,2,2023-10-12 10:25:00,2.1,CUST-10202,United Kingdom
500056,22960,JAM MAKING SET WITH JARS,2,2023-04-11 13:46:00,4.95,CUST-10096,United Kingdom
500056,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2023-05-06 10:36:00,4.95,CUST-10087,Spain
500056,22960,JAM MAKING SET WITH JARS,1,2023-03-11 10:53:00,4.95,CUST-10198,United Kingdom
500057,22633,HAND WARMER UNION JACK,1,2023-08-19 19:00:00,2.1,CUST-10067,United Kingdom
500057,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2023-08-17 08:55:00,1.69,CUST-10374,United Kingdom
500057,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2023-11-26 16:36:00,4.95,CUST-10013,United Kingdom
500058,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2023-07-31 17:19:00,4.95,CUST-10032,United Kingdom
500058,22960,JAM MAKING SET WITH JARS,1,2023-02-07 11:22:00,4.95,CUST-10428,United Kingdom
500058,23084,RABBIT NIGHT LIGHT,1,2023-01-08 13:04:00,2.08,CUST-10518,Spain
500059,23084,RABBIT NIGHT LIGHT,2,2023-11-21 17:07:00,2.08,CUST-10323,United Kingdom
500059,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2023-07-30 12:47:00,4.95,CUST-10356,United Kingdom
500059,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-10-16 16:52:00,2.55,CUST-10032,United Kingdom
500060,84406B,CREAM CUPID HEARTS COAT HANGER,6,2023-03-23 16:22:00,4.25,CUST-10408,United Kingdom
500060,23084,RABBIT NIGHT LIGHT,4,2023-10-03 17:06:00,2.08,CUST-10000,United Kingdom
500060,22960,JAM MAKING SET WITH JARS,4,2023-11-23 10:07:00,4.95,CUST-10161,United Kingdom
500061,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2023-04-27 17:24:00,1.69,CUST-10583,United Kingdom
500061,22197,SMALL POPCORN HOLDER,2,2023-12-28 09:43:00,0.85,CUST-10146,France
500061,84406B,CREAM CUPID HEARTS COAT HANGER,1,2023-08-13 11:10:00,4.25,CUST-10014,United Kingdom
500062,23084,RABBIT NIGHT LIGHT,2,2023-04-22 18:28:00,2.08,CUST-10176,United Kingdom
500062,22960,JAM MAKING SET WITH JARS,1,2023-07-11 17:24:00,4.95,CUST-10136,United Kingdom
500062,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-12-16 17:55:00,4.95,CUST-10265,United Kingdom
500063,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-07-20 14:21:00,8.5,CUST-10106,United Kingdom
500063,22632,HAND WARMER RED RETROSPOT,2,2023-11-21 17:07:00,2.1,CUST-10056,United Kingdom
500063,71053,WHITE METAL LANTERN,4,2023-12-13 17:24:00,3.75,CUST-10269,United Kingdom
500064,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-12-27 14:20:00,2.95,CUST-10043,United Kingdom
500064,71053,WHITE METAL LANTERN,1,2023-05-17 16:24:00,3.75,CUST-10137,United Kingdom
500064,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2023-09-05 10:03:00,12.75,CUST-10083,United Kingdom
500065,22197,SMALL POPCORN HOLDER,1,2023-05-13 15:32:00,0.85,CUST-10190,Germany
500065,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-07-26 12:07:00,8.5,CUST-10381,United Kingdom
500065,84406B,CREAM CUPID HEARTS COAT HANGER,4,2023-07-21 13:16:00,4.25,CUST-10001,United Kingdom
500066,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2023-01-31 16:54:00,12.75,CUST-10466,United Kingdom
500066,84406B,CREAM CUPID HEARTS COAT HANGER,1,2023-11-20 14:27:00,4.25,CUST-10212,United Kingdom
500066,71053,WHITE METAL LANTERN,4,2023-09-21 13:21:00,3.75,CUST-10358,United Kingdom
500067,71053,WHITE METAL LANTERN,1,2023-08-24 08:22:00,3.75,CUST-10013,United Kingdom
500067,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2023-08-28 14:25:00,4.95,CUST-10126,United Kingdom
500067,22752,SET 7 BABUSHKA NESTING BOXES,6,2023-10-26 08:41:00,8.5,CUST-10071,Germany
500068,22633,HAND WARMER UNION JACK,1,2023-07-06 11:13:00,2.1,,United Kingdom
500068,22633,HAND WARMER UNION JACK,2,2023-01-10 16:01:00,2.1,CUST-10599,United Kingdom
500068,22752,SET 7 BABUSHKA NESTING BOXES,1,2023-05-11 10:40:00,8.5,CUST-10514,United Kingdom
500069,23084,RABBIT NIGHT LIGHT,2,2023-07-31 19:12:00,2.08,CUST-10003,United Kingdom
500069,23084,RABBIT NIGHT LIGHT,1,2023-09-17 14:18:00,2.08,CUST-10001,United Kingdom
500069,84406B,CREAM CUPID HEARTS COAT HANGER,1,2023-02-25 16:22:00,4.25,CUST-10548,United Kingdom
500070,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-10-24 11:03:00,3.25,CUST-10015,United Kingdom
500070,23084,RABBIT NIGHT LIGHT,2,2023-12-24 12:51:00,2.08,CUST-10375,United Kingdom
500070,22960,JAM MAKING SET WITH JARS,2,2023-11-09 14:01:00,4.95,,United Kingdom
500071,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2023-11-29 08:12:00,4.95,CUST-10038,United Kingdom
500071,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-12-05 12:51:00,3.25,CUST-10016,United Kingdom
500071,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2023-12-03 13:41:00,4.95,CUST-10389,United Kingdom
500072,71053,WHITE METAL LANTERN,1,2023-03-01 08:09:00,3.75,CUST-10519,United Kingdom
500072,22632,HAND WARMER RED RETROSPOT,6,2023-09-16 08:22:00,2.1,CUST-10386,United Kingdom
500072,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,2023-10-14 18:00:00,2.55,CUST-10007,United Kingdom
500073,23084,RABBIT NIGHT LIGHT,12,2023-10-15 18:51:00,2.08,CUST-10169,United Kingdom
500073,23084,RABBIT NIGHT LIGHT,1,2023-03-09 17:37:00,2.08,CUST-10155,United Kingdom
500073,22633,HAND WARMER UNION JACK,4,2023-12-18 11:13:00,2.1,CUST-10108,Spain
500074,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-09-28 15:01:00,8.5,CUST-10349,United Kingdom
500074,71053,WHITE METAL LANTERN,1,2023-08-03 08:39:00,3.75,CUST-10009,United Kingdom
500074,84406B,CREAM CUPID HEARTS COAT HANGER,6,2023-09-30 19:31:00,4.25,CUST-10081,United Kingdom
500075,22960,JAM MAKING SET WITH JARS,2,2023-01-18 12:12:00,4.95,CUST-10401,United Kingdom
500075,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-11-26 18:24:00,8.5,CUST-10295,United Kingdom
500075,22632,HAND WARMER RED RETROSPOT,1,2023-10-22 10:22:00,2.1,CUST-10049,United Kingdom
500076,22960,JAM MAKING SET WITH JARS,6,2023-03-20 14:28:00,4.95,CUST-10177,United Kingdom
500076,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2023-05-12 08:43:00,4.95,CUST-10203,Germany
500076,22197,SMALL POPCORN HOLDER,4,2023-11-25 14:26:00,0.85,CUST-10219,United Kingdom
500077,22960,JAM MAKING SET WITH JARS,1,2023-08-22 19:16:00,4.95,CUST-10267,United Kingdom
500077,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2023-09-27 15:18:00,4.95,CUST-10054,United Kingdom
500077,22752,SET 7 BABUSHKA NESTING BOXES,4,2023-08-25 13:20:00,8.5,,United Kingdom
500078,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-07-16 14:06:00,4.95,CUST-10229,United Kingdom
500078,71053,WHITE METAL LANTERN,4,2023-07-23 09:29:00,3.75,,United Kingdom
500078,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2023-11-05 19:29:00,12.75,CUST-10023,United Kingdom
500079,71053,WHITE METAL LANTERN,2,2023-11-09 14:32:00,3.75,CUST-10054,United Kingdom
