House_ID,Square_Feet,Bedrooms,Bathrooms,Floors,Year_Built,House_Age,Neighborhood,Overall_Condition,Garage_Capacity,Has_Pool,Distance_to_City_Center_km,Price
HSE-10030,1910,3,2.2,1,2007,17,Suburbs,Good,2.0,0,38.2,419700.0
HSE-10031,1708,3,2.8,1,2007,17,Suburbs,Good,2.0,0,45.0,408000.0
HSE-10032,3303,3,2.2,2,1971,53,Suburbs,Good,2.0,0,12.5,705700.0
HSE-10033,2091,2,2.0,2,2017,7,Uptown,Good,2.0,0,3.4,549600.0
HSE-10034,1412,4,3.0,3,2006,18,Suburbs,Good,1.0,0,9.1,429500.0
HSE-10035,2634,3,2.2,2,1968,56,Suburbs,Excellent,1.0,0,9.5,631800.0
HSE-10036,1306,3,2.2,1,1969,55,Uptown,Good,2.0,0,9.2,390600.0
HSE-10037,2235,3,2.2,2,1969,55,Uptown,Fair,2.0,0,10.4,517000.0
HSE-10038,826,3,2.8,1,1975,49,Downtown,Good,1.0,0,2.2,365500.0
HSE-10039,1236,2,1.5,2,2005,19,Uptown,Fair,0.0,0,14.4,347600.0
HSE-10040,2227,3,1.8,1,1992,32,Downtown,Good,0.0,0,14.5,519200.0
HSE-10041,2580,2,1.5,1,1980,44,Suburbs,Excellent,1.0,0,3.2,517700.0
HSE-10042,2211,4,3.0,2,2005,19,Downtown,Fair,3.0,1,10.4,652500.0
HSE-10043,2024,4,3.0,2,2018,6,Downtown,Good,2.0,0,10.4,638900.0
HSE-10044,1904,4,3.0,1,1994,30,Rural,Good,1.0,0,13.5,432400.0
HSE-10045,1138,3,2.2,1,1968,56,Suburbs,Good,2.0,0,2.9,327800.0
HSE-10046,1632,3,2.2,2,1966,58,Downtown,Good,2.0,1,11.8,497800.0
HSE-10047,1800,2,1.5,2,2010,14,Suburbs,Good,1.0,0,5.3,481100.0
HSE-10048,2787,4,3.0,1,1967,57,Downtown,Fair,3.0,1,9.1,695200.0
HSE-10049,2323,3,2.2,1,2014,10,Suburbs,Good,2.0,0,16.8,559600.0
HSE-10050,954,3,2.2,1,1985,39,Suburbs,Good,2.0,0,14.2,274500.0
HSE-10051,2310,3,2.2,2,1970,54,Waterfront,Good,2.0,0,3.3,646200.0
HSE-10052,1849,2,1.5,2,2007,17,Downtown,Excellent,2.0,0,10.9,575400.0
HSE-10053,1660,3,1.8,2,2017,7,Downtown,Good,,0,36.8,477300.0
HSE-10054,2497,2,1.5,2,1982,42,Suburbs,Fair,2.0,1,3.7,573800.0
HSE-10055,2770,4,3.5,1,2008,16,Suburbs,Good,3.0,0,21.2,608800.0
HSE-10056,2705,3,2.2,2,1969,55,Downtown,Good,1.0,0,14.1,620600.0
HSE-10057,1554,1,1.0,2,1973,51,Waterfront,Good,2.0,1,16.9,507700.0
HSE-10058,1899,3,2.8,1,1984,40,Rural,Good,2.0,0,5.3,448300.0
HSE-10059,2315,1,1.2,1,1992,32,Downtown,Good,0.0,0,5.4,510000.0
HSE-10060,2734,3,1.8,2,1990,34,Downtown,Good,2.0,0,25.6,605200.0
HSE-10061,1788,4,3.5,3,1982,42,Waterfront,Excellent,1.0,0,6.5,626900.0
HSE-10062,1979,2,1.5,1,1983,41,Downtown,Good,2.0,0,2.7,538600.0
HSE-10063,1380,4,3.0,2,1967,57,Downtown,Good,0.0,0,11.2,386100.0
HSE-10064,1322,1,1.0,2,1973,51,Suburbs,Good,3.0,1,3.3,389000.0
HSE-10065,2628,2,1.5,1,2000,24,Uptown,Excellent,1.0,0,17.9,625800.0
HSE-10066,2981,4,2.5,1,1995,29,Downtown,Excellent,1.0,0,12.3,733800.0
HSE-10067,2053,3,2.2,1,2013,11,Waterfront,Fair,1.0,0,22.8,582400.0
HSE-10068,2752,2,1.5,2,1981,43,Uptown,Fair,3.0,0,17.4,562800.0
HSE-10069,2335,3,2.8,1,2019,5,Suburbs,Good,2.0,0,3.2,596100.0
HSE-10070,1680,3,2.8,1,1987,37,Uptown,Fair,2.0,0,6.8,430500.0
HSE-10071,2334,4,3.0,2,1998,26,Waterfront,Good,2.0,0,16.9,658400.0
HSE-10072,3099,3,2.8,2,2005,19,Suburbs,Fair,2.0,0,7.4,659900.0
HSE-10073,2076,4,3.5,1,2005,19,Suburbs,Good,1.0,0,37.9,452800.0
HSE-10074,3117,4,3.0,1,1969,55,Suburbs,Excellent,2.0,0,15.3,708800.0
HSE-10075,650,3,1.8,2,1979,45,Downtown,Excellent,1.0,0,2.2,356200.0
HSE-10076,2634,4,3.0,2,2011,13,Suburbs,Good,3.0,0,23.2,666800.0
HSE-10077,2156,3,2.8,2,1967,57,Downtown,Good,2.0,0,3.1,582700.0
HSE-10078,1905,5,3.8,1,1983,41,Suburbs,Excellent,1.0,0,3.5,481800.0
HSE-10079,2159,2,1.5,2,1992,32,Waterfront,Fair,1.0,1,15.3,556400.0
HSE-10080,808,3,2.2,2,1967,57,Suburbs,Good,2.0,0,22.0,213700.0
HSE-10081,1957,3,2.2,2,2002,22,Suburbs,Good,1.0,1,9.7,584800.0
HSE-10082,2332,3,2.2,2,1968,56,Downtown,Good,1.0,0,5.4,587400.0
HSE-10083,3060,3,1.8,1,1988,36,Downtown,Good,1.0,1,6.3,774400.0
HSE-10084,1763,4,3.0,1,1995,29,Suburbs,Fair,2.0,0,6.2,480600.0
HSE-10085,1574,1,1.2,2,2009,15,Suburbs,Good,2.0,0,6.0,374800.0
HSE-10086,1773,2,2.0,2,2023,1,Suburbs,Good,1.0,0,4.8,424600.0
HSE-10087,2695,4,2.5,2,2009,15,Uptown,Good,0.0,0,11.4,670200.0
HSE-10088,2313,3,2.8,1,2023,1,Uptown,Fair,2.0,0,25.1,516000.0
HSE-10089,1755,5,3.8,2,1975,49,Downtown,Excellent,2.0,0,5.7,622300.0
HSE-10090,2433,4,3.0,2,2001,23,Uptown,Good,1.0,0,4.1,643200.0
HSE-10091,2163,5,3.8,1,1965,59,Uptown,Good,1.0,0,20.2,568300.0
HSE-10092,2729,4,3.5,1,1973,51,Suburbs,Good,3.0,1,15.5,666300.0
HSE-10093,1643,3,2.8,2,1981,43,Rural,,3.0,0,28.7,367600.0
HSE-10094,1887,2,1.5,2,2018,6,Waterfront,Fair,3.0,0,3.8,606800.0
HSE-10095,1845,4,3.5,2,1965,59,Suburbs,Good,2.0,0,3.6,494900.0
HSE-10096,1148,3,1.8,2,1967,57,Suburbs,Fair,1.0,0,9.8,275200.0
HSE-10097,2292,1,1.0,1,2011,13,Suburbs,Fair,1.0,0,11.5,431900.0
HSE-10098,2269,3,2.2,1,1990,34,Suburbs,Good,1.0,0,8.5,512600.0
HSE-10099,2103,5,3.8,2,2017,7,Uptown,Good,1.0,0,11.1,663800.0
HSE-10100,1947,3,2.2,2,1995,29,Downtown,Good,3.0,1,4.0,620600.0
HSE-10101,1180,3,2.8,2,1990,34,Uptown,Good,2.0,0,8.5,441500.0
HSE-10102,1826,3,1.8,2,1987,37,Uptown,Good,2.0,0,12.7,470400.0
HSE-10103,1877,2,1.0,1,1994,30,Uptown,Good,1.0,0,7.7,456700.0
HSE-10104,1578,3,2.2,2,1974,50,Uptown,Good,3.0,0,13.4,431800.0
HSE-10105,1995,3,2.2,1,1972,52,Suburbs,Good,2.0,0,8.0,444900.0
HSE-10106,2362,2,2.0,1,2008,16,Suburbs,Good,1.0,0,6.1,508200.0
HSE-10107,3326,4,3.0,1,1989,35,Uptown,Good,2.0,0,5.6,797200.0
HSE-10108,2213,3,1.8,1,1986,38,Suburbs,Good,1.0,0,7.3,496100.0
HSE-10109,2267,4,3.5,1,1979,45,Suburbs,Good,0.0,0,2.2,566300.0
HSE-10110,2051,4,3.0,1,2023,1,Waterfront,Good,2.0,1,13.0,706400.0
HSE-10111,852,2,1.0,1,2005,19,Uptown,Excellent,2.0,0,20.7,285000.0
HSE-10112,2082,3,2.2,1,2020,4,Suburbs,Excellent,0.0,0,6.4,554700.0
HSE-10113,2139,3,2.2,2,2021,3,Uptown,Fair,1.0,0,2.5,519000.0
HSE-10114,3701,4,3.0,1,1974,50,Uptown,Fair,3.0,0,45.0,733900.0
HSE-10115,1974,2,1.5,1,1984,40,Suburbs,Fair,2.0,0,5.1,417500.0
HSE-10116,2296,3,2.8,2,2005,19,Suburbs,Good,2.0,0,3.4,582100.0
HSE-10117,2077,3,2.8,2,2011,13,Rural,Fair,1.0,0,6.6,423200.0
HSE-10118,1340,3,2.2,2,1987,37,Suburbs,Good,,0,15.4,351700.0
HSE-10119,2842,2,1.0,1,2017,7,Suburbs,Excellent,1.0,1,5.5,682900.0
HSE-10120,2588,3,2.8,2,2017,7,Downtown,Good,1.0,0,10.5,668000.0
HSE-10121,2614,4,3.0,1,1965,59,Uptown,Good,1.0,0,7.4,596200.0
HSE-10122,1508,3,2.2,1,1966,58,Suburbs,Good,1.0,1,3.3,457200.0
HSE-10123,3011,3,2.2,1,2022,2,Suburbs,Good,2.0,1,6.0,706200.0
HSE-10124,1188,3,2.8,2,1983,41,Suburbs,Excellent,1.0,0,14.9,372500.0
HSE-10125,2481,4,3.0,1,1978,46,Rural,Excellent,2.0,0,11.5,552200.0
HSE-10126,3523,2,1.0,1,1972,52,Suburbs,Excellent,1.0,0,3.3,808100.0
HSE-10127,1456,4,3.0,1,2002,22,Downtown,Good,2.0,0,3.8,523500.0
HSE-10128,1731,3,2.8,2,1976,48,Rural,Good,0.0,0,12.2,353600.0
HSE-10129,2164,3,1.8,2,1990,34,Suburbs,Fair,2.0,0,18.8,469400.0
HSE-10130,1772,2,2.0,1,1991,33,Rural,Good,0.0,0,6.3,392400.0
HSE-10131,1092,2,1.5,2,1993,31,Rural,Good,3.0,0,11.0,296000.0
HSE-10132,2144,3,2.2,2,1979,45,Rural,Good,2.0,0,3.9,468100.0
HSE-10133,1409,3,2.2,2,2010,14,Suburbs,Good,2.0,0,5.7,428800.0
HSE-10134,2407,4,3.0,1,2017,7,Uptown,Good,0.0,0,2.2,643800.0
HSE-10135,1502,1,1.2,2,1965,59,Uptown,Fair,2.0,0,16.6,343000.0
HSE-10136,3107,3,2.2,1,2007,17,Rural,Fair,2.0,0,7.1,605800.0
HSE-10137,1590,3,2.2,2,1992,32,Suburbs,Fair,1.0,0,18.9,324000.0
HSE-10138,1890,1,1.0,1,2021,3,Uptown,Fair,2.0,0,14.3,475100.0
HSE-10139,2628,2,1.0,1,1967,57,Suburbs,Fair,2.0,0,19.6,495800.0
HSE-10140,1299,3,1.8,1,2015,9,Suburbs,Good,2.0,0,5.4,427800.0
HSE-10141,2247,3,2.2,2,1982,42,Downtown,Good,2.0,1,4.0,637900.0
HSE-10142,2949,3,2.8,1,2016,8,Uptown,Excellent,2.0,1,37.7,725200.0
HSE-10143,1055,3,2.2,2,1998,26,Downtown,Good,3.0,0,14.6,380900.0
HSE-10144,2220,3,2.2,1,1996,28,Downtown,Fair,1.0,1,20.0,562400.0
HSE-10145,2268,1,1.0,2,1993,31,Rural,Good,2.0,0,2.1,475700.0
HSE-10146,2608,3,2.2,2,1989,35,Downtown,Excellent,2.0,0,6.4,660300.0
HSE-10147,1295,5,3.8,2,1990,34,Uptown,Good,2.0,1,15.6,515900.0
HSE-10148,1241,3,2.8,2,2003,21,Suburbs,Good,3.0,0,2.8,400800.0
HSE-10149,2439,3,2.2,2,1972,52,Downtown,Good,0.0,0,10.4,579400.0
HSE-10150,2293,3,2.2,1,1983,41,Uptown,Good,1.0,0,7.6,583900.0
HSE-10151,2262,4,2.5,2,2018,6,Rural,Good,1.0,0,2.2,539100.0
HSE-10152,2325,4,3.5,1,2011,13,Downtown,Good,1.0,0,4.7,695900.0
HSE-10153,1657,3,2.2,2,2006,18,Uptown,Excellent,1.0,0,5.4,541800.0
HSE-10154,2250,5,3.2,2,1986,38,Suburbs,Excellent,2.0,0,3.2,614800.0
HSE-10155,2290,2,1.5,1,1993,31,Suburbs,Good,0.0,0,12.0,412000.0
HSE-10156,1635,1,1.0,1,1997,27,Downtown,Good,2.0,0,4.8,492500.0
HSE-10157,3312,4,3.0,2,2002,22,Suburbs,Good,2.0,1,5.3,758900.0
HSE-10158,2407,4,3.0,2,2009,15,Suburbs,Excellent,1.0,0,24.9,602900.0
HSE-10159,1325,2,1.5,2,2010,14,Downtown,Fair,1.0,0,8.3,411200.0
HSE-10160,2526,3,1.8,2,1999,25,Suburbs,Excellent,2.0,0,7.0,613300.0
HSE-10161,1466,1,1.2,2,2007,17,Suburbs,Fair,2.0,0,14.9,352600.0
HSE-10162,2611,3,2.2,2,1967,57,Downtown,Good,2.0,0,26.0,609300.0
HSE-10163,2853,4,3.0,1,1983,41,Downtown,Excellent,2.0,0,2.3,778500.0
HSE-10164,1566,3,2.2,1,1974,50,Rural,Good,3.0,0,7.9,341800.0
HSE-10165,2726,3,2.2,2,1991,33,Uptown,Good,2.0,1,11.4,687600.0
HSE-10166,2368,3,2.2,2,1979,45,Downtown,Fair,3.0,0,5.8,574300.0
HSE-10167,2634,1,1.0,2,1975,49,Rural,Good,2.0,0,16.8,451600.0
HSE-10168,3332,3,2.2,1,2011,13,Uptown,,2.0,0,37.6,672800.0
HSE-10169,1940,3,2.2,1,1990,34,Suburbs,Good,0.0,0,30.7,431900.0
HSE-10170,1610,5,4.2,1,2023,1,Suburbs,Good,3.0,0,5.1,548100.0
HSE-10171,1521,4,3.0,1,1988,36,Uptown,Excellent,2.0,0,4.6,540200.0
HSE-10172,1569,1,1.2,1,1977,47,Downtown,Excellent,2.0,0,33.6,427100.0
HSE-10173,2049,4,3.0,2,1996,28,Uptown,Fair,1.0,0,8.1,518800.0
HSE-10174,2321,4,2.5,1,2001,23,Uptown,Good,1.0,0,4.3,583100.0
HSE-10175,2279,4,3.0,2,1968,56,Uptown,Fair,1.0,1,14.3,527900.0
HSE-10176,2637,3,2.2,1,1977,47,Rural,Fair,1.0,1,5.3,544400.0
HSE-10177,2108,3,2.2,2,1973,51,Downtown,Fair,1.0,0,5.1,548400.0
HSE-10178,3044,3,1.8,1,2021,3,Suburbs,Excellent,2.0,0,23.1,705500.0
HSE-10179,1927,2,2.0,1,2013,11,Waterfront,Excellent,,0,3.8,620100.0
HSE-10180,3868,2,2.0,1,1998,26,Suburbs,Fair,,0,2.7,790900.0
HSE-10181,2506,2,1.5,3,2020,4,Uptown,Fair,1.0,0,5.1,637400.0
HSE-10182,1542,3,1.8,2,2001,23,Rural,Good,2.0,0,11.3,385200.0
HSE-10183,1403,4,2.5,2,2012,12,Uptown,Good,1.0,0,3.3,511900.0
HSE-10184,2413,3,1.8,1,1971,53,Downtown,Good,1.0,0,8.4,609200.0
HSE-10185,1954,2,1.5,3,1965,59,Downtown,,2.0,1,11.9,523700.0
HSE-10186,2564,5,4.2,1,2022,2,Suburbs,Good,2.0,0,20.9,630000.0
HSE-10187,2407,5,3.8,1,1976,48,Suburbs,Good,,0,4.6,557400.0
HSE-10188,2052,4,2.5,2,1985,39,Uptown,Excellent,1.0,0,19.0,548100.0
HSE-10189,1549,5,3.8,3,1975,49,Uptown,Good,1.0,1,4.7,526900.0
HSE-10190,1115,3,2.2,1,2008,16,Uptown,Good,3.0,0,13.3,409700.0
HSE-10191,1809,5,3.8,1,2015,9,Suburbs,Good,1.0,0,7.6,521600.0
HSE-10192,2656,2,1.5,3,2022,2,Downtown,Excellent,2.0,0,3.2,672200.0
HSE-10193,2239,3,2.2,1,2008,16,Uptown,Good,1.0,0,14.5,586200.0
HSE-10194,1290,2,1.0,1,2008,16,Downtown,Good,2.0,0,4.5,456500.0
HSE-10195,2212,2,1.0,2,1978,46,Downtown,Excellent,0.0,0,3.9,577100.0
HSE-10196,2350,2,2.0,2,1998,26,Uptown,Fair,0.0,0,6.4,512000.0
HSE-10197,1525,3,2.2,2,1998,26,Uptown,Fair,2.0,0,12.6,438400.0
HSE-10198,2199,4,2.5,3,1989,35,Downtown,Good,1.0,0,4.7,605800.0
HSE-10199,2137,3,1.8,2,1968,56,Rural,Excellent,1.0,0,4.0,487600.0
HSE-10200,1357,2,1.0,1,2016,8,Suburbs,Good,2.0,0,2.1,425400.0
HSE-10201,2332,4,3.0,3,2019,5,Rural,Excellent,3.0,0,8.4,604900.0
HSE-10202,2464,3,2.8,1,1990,34,Suburbs,Good,1.0,0,7.6,570400.0
HSE-10203,2803,3,2.2,1,1980,44,Suburbs,Fair,2.0,0,4.7,574000.0
HSE-10204,2784,3,2.2,2,1974,50,Rural,Good,3.0,1,2.6,645500.0
HSE-10205,1204,3,2.2,1,2009,15,Suburbs,Good,2.0,0,7.6,395200.0
HSE-10206,1490,3,2.2,1,1966,58,Uptown,Fair,2.0,1,17.5,419100.0
HSE-10207,2434,4,3.5,1,1999,25,Waterfront,Fair,2.0,1,14.6,705700.0
HSE-10208,2433,3,2.8,1,1983,41,Waterfront,Fair,1.0,0,21.7,610800.0
HSE-10209,2434,3,1.8,2,1970,54,Rural,Good,2.0,1,2.1,503400.0
HSE-10210,4604,4,3.0,2,1983,41,Suburbs,Excellent,1.0,0,35.9,880300.0
HSE-10211,2471,4,3.0,3,2023,1,Uptown,Good,1.0,0,6.2,683500.0
HSE-10212,2838,2,2.0,1,2017,7,Suburbs,Excellent,1.0,0,45.0,581300.0
HSE-10213,2720,2,1.5,1,2016,8,Downtown,Fair,1.0,0,4.9,648000.0
HSE-10214,2523,1,1.2,1,2015,9,Waterfront,Excellent,2.0,0,8.4,761800.0
HSE-10215,1895,3,2.2,1,1972,52,Suburbs,Excellent,2.0,0,6.4,503200.0
HSE-10216,2593,3,2.2,1,1978,46,Downtown,Good,2.0,0,6.4,639700.0
HSE-10217,1597,2,1.5,2,1974,50,Downtown,Excellent,1.0,0,20.5,431400.0
HSE-10218,1946,5,4.2,2,1967,57,Uptown,Good,1.0,0,15.7,533800.0
HSE-10219,1784,3,2.8,3,2002,22,Rural,Excellent,2.0,0,45.0,375000.0
HSE-10220,2153,2,1.0,1,1993,31,Suburbs,Excellent,3.0,0,11.5,548200.0
HSE-10221,3604,3,2.2,2,1979,45,Downtown,Good,0.0,1,8.2,829100.0
HSE-10222,886,3,2.2,1,1987,37,Waterfront,Good,,0,2.9,431600.0
HSE-10223,2546,2,1.0,1,1987,37,Downtown,Fair,2.0,0,45.0,490700.0
HSE-10224,1051,3,2.2,2,1982,42,Suburbs,Good,0.0,1,10.0,342600.0
HSE-10225,1793,4,3.0,2,2010,14,Downtown,Good,2.0,0,14.1,580900.0
HSE-10226,2807,3,2.8,1,1983,41,Suburbs,Good,2.0,0,7.2,590800.0
HSE-10227,2141,3,2.2,1,1992,32,Suburbs,Good,1.0,0,9.9,494900.0
HSE-10228,1399,3,2.8,1,1990,34,Waterfront,Excellent,1.0,0,30.6,507500.0
HSE-10229,1635,1,1.0,2,1974,50,Downtown,Fair,1.0,1,3.8,451200.0
HSE-10230,2541,2,1.5,2,2011,13,Rural,Excellent,1.0,0,5.5,566200.0
HSE-10231,1625,3,2.2,3,1968,56,Waterfront,Excellent,2.0,0,3.6,598800.0
HSE-10232,2240,2,1.5,1,2019,5,Uptown,Good,2.0,0,17.7,556200.0
HSE-10233,2129,1,1.0,1,1966,58,Suburbs,Fair,2.0,0,2.6,410200.0
HSE-10234,1676,4,2.5,2,1967,57,Downtown,Fair,2.0,0,2.9,503700.0
HSE-10235,3493,5,3.8,2,1971,53,Suburbs,Fair,1.0,1,5.5,785100.0
HSE-10236,2512,4,3.0,1,2019,5,Rural,Good,2.0,1,9.2,634000.0
HSE-10237,783,4,3.0,2,1980,44,Suburbs,Good,2.0,0,7.2,328400.0
HSE-10238,2221,2,1.5,2,1995,29,Suburbs,Excellent,2.0,0,2.5,535500.0
HSE-10239,1669,5,4.2,3,1974,50,Downtown,Good,1.0,0,33.6,465700.0
HSE-10240,2654,2,2.0,2,1983,41,Suburbs,Good,2.0,0,32.5,543600.0
HSE-10241,1584,5,3.8,2,1992,32,Suburbs,Good,2.0,0,5.3,492500.0
HSE-10242,2025,5,3.8,2,1981,43,Downtown,Excellent,1.0,0,15.1,615700.0
HSE-10243,2428,4,2.5,2,1992,32,Suburbs,Excellent,0.0,1,10.6,609200.0
HSE-10244,2662,5,4.2,1,1983,41,Suburbs,Excellent,2.0,0,4.7,725500.0
HSE-10245,1319,3,1.8,1,2001,23,Suburbs,Good,1.0,0,5.0,337200.0
HSE-10246,1882,3,2.2,1,1987,37,Uptown,Good,2.0,0,8.8,524300.0
HSE-10247,1791,3,2.2,2,1984,40,Downtown,Excellent,3.0,0,7.4,570900.0
HSE-10248,1675,3,2.2,1,1977,47,Downtown,,2.0,0,5.4,474800.0
HSE-10249,3247,2,1.0,3,1977,47,Downtown,Good,2.0,0,18.5,732300.0
HSE-10250,2363,3,2.2,1,2007,17,Suburbs,Fair,2.0,0,8.6,477500.0
HSE-10251,1280,5,3.2,1,1975,49,Rural,Fair,1.0,0,12.6,308700.0
HSE-10252,2696,2,1.5,2,2012,12,Suburbs,Good,1.0,0,4.1,610200.0
HSE-10253,3479,4,2.5,1,1979,45,Uptown,Fair,3.0,0,9.6,751800.0
HSE-10254,2771,4,2.5,1,1981,43,Rural,Good,2.0,0,5.8,599500.0
HSE-10255,1112,5,4.2,1,2018,6,Waterfront,Good,0.0,0,9.5,530600.0
HSE-10256,1785,5,3.2,2,2014,10,Suburbs,Good,1.0,0,17.2,507100.0
HSE-10257,2923,3,2.8,1,1992,32,Suburbs,Good,2.0,1,16.6,745800.0
HSE-10258,1640,5,3.8,2,1983,41,Uptown,Good,2.0,0,6.4,540100.0
HSE-10259,2388,4,2.5,2,1968,56,Suburbs,Fair,2.0,0,13.9,521700.0
HSE-10260,2603,2,2.0,1,1986,38,Waterfront,Fair,1.0,1,30.4,620000.0
HSE-10261,1497,3,2.2,1,1986,38,Uptown,Good,3.0,0,11.8,464900.0
HSE-10262,2061,4,3.5,1,2019,5,Uptown,Good,2.0,0,3.6,617500.0
HSE-10263,650,2,1.0,2,2001,23,Suburbs,Good,2.0,0,13.4,250400.0
HSE-10264,1434,3,2.8,1,2003,21,Uptown,Fair,2.0,0,3.1,422200.0
HSE-10265,1935,3,1.8,1,1998,26,Uptown,Excellent,1.0,1,22.6,526100.0
HSE-10266,1288,2,1.5,2,1997,27,Waterfront,Good,3.0,0,9.3,528500.0
HSE-10267,3161,3,2.2,2,2008,16,Suburbs,Fair,1.0,0,6.9,664000.0
HSE-10268,1170,4,3.5,1,2006,18,Suburbs,Fair,1.0,0,2.6,403800.0
HSE-10269,1813,3,2.8,1,2004,20,Suburbs,Excellent,2.0,0,6.8,531200.0
HSE-10270,2184,1,1.2,3,1997,27,Suburbs,Good,2.0,0,25.4,456600.0
HSE-10271,3036,1,1.2,2,1976,48,Downtown,Good,2.0,0,2.2,684900.0
HSE-10272,1166,3,1.8,2,1966,58,Rural,Good,2.0,0,8.4,279300.0
HSE-10273,2856,4,3.0,2,2023,1,Downtown,Good,1.0,0,28.8,718400.0
HSE-10274,2106,2,1.5,2,1992,32,Waterfront,Good,3.0,1,7.0,667100.0
HSE-10275,1462,3,2.2,3,1974,50,Suburbs,Good,0.0,0,7.6,387100.0
HSE-10276,2400,2,1.5,3,1986,38,Suburbs,Good,2.0,0,10.6,521000.0
HSE-10277,2229,3,2.2,1,1981,43,Suburbs,Fair,1.0,0,8.2,450900.0
HSE-10278,1709,4,2.5,2,1990,34,Suburbs,Excellent,2.0,1,3.8,510600.0
HSE-10279,2145,4,3.0,1,1967,57,Rural,Good,1.0,0,2.2,476700.0
HSE-10280,1849,2,1.0,1,1971,53,Suburbs,Good,2.0,0,11.4,427500.0
HSE-10281,2173,3,2.2,2,2008,16,Uptown,,2.0,0,27.4,561600.0
HSE-10282,2530,1,1.0,1,1972,52,Downtown,Excellent,2.0,1,3.1,681700.0
HSE-10283,3130,3,2.2,3,1984,40,Rural,Excellent,2.0,0,4.4,678700.0
HSE-10284,1295,3,2.2,1,1976,48,Suburbs,Excellent,2.0,0,6.6,414200.0
HSE-10285,3486,2,1.5,2,1999,25,Suburbs,Excellent,2.0,0,18.5,724700.0
HSE-10286,831,3,1.8,2,1981,43,Suburbs,Good,3.0,1,5.1,340500.0
HSE-10287,2001,3,2.2,2,1992,32,Downtown,Excellent,1.0,0,23.4,568900.0
HSE-10288,2482,4,2.5,1,2005,19,Suburbs,Excellent,1.0,1,2.6,668900.0
HSE-10289,2282,5,3.8,1,1974,50,Waterfront,Good,0.0,1,30.3,650200.0
HSE-10290,1695,1,1.0,2,1986,38,Uptown,Fair,1.0,0,10.2,353100.0
HSE-10291,1964,4,2.5,1,2002,22,Uptown,Excellent,1.0,0,12.8,586400.0
HSE-10292,1779,3,2.2,3,2021,3,Downtown,Good,2.0,0,6.6,541500.0
HSE-10293,1716,3,2.8,2,1997,27,Suburbs,Excellent,1.0,1,17.2,482200.0
HSE-10294,2652,4,3.5,1,1986,38,Downtown,Fair,0.0,0,3.8,629800.0
